"Name","Population","Held by","source","More information","sourceLink","update","Lat","Lon"
"Alchevsk",106550,"Luhansk PR","","","","24 March 2022 14h03 UTC",48.4672,38.7983
"Antonov Airport",0,"Russia","39","See Battle of Antonov Airport","https://web.archive.org/web/20220225171132/https://www.bbc.com/news/live/world-europe-60517447","24 March 2022 14h03 UTC",50.5911,30.2074
"Apostolove",16356,"Ukraine","","","","24 March 2022 14h03 UTC",47.6595,33.717
"Arkhanhelske",1769,"Russia","29","","https://ua.korrespondent.net/ukraine/4457270-dnipropetrovska-oblast-hotova-do-oporu-korban","24 March 2022 14h03 UTC",47.4297,33.4081
"Bakhmut",72310,"Ukraine","11","","https://web.archive.org/web/20150923150638/http://artemrada.gov.ua/uk/news/10260","24 March 2022 14h03 UTC",48.6044,38.0067
"Balakliia",26921,"Contested","24","","https://web.archive.org/web/20220226132929/https://suspilne.media/211232-do-balaklii-nablizautsa-vijska-rf-miskij-golova/","24 March 2022 14h03 UTC",49.4564,36.8389
"Bar",15563,"Ukraine","","","","24 March 2022 14h03 UTC",49.0781,27.6831
"Barvinkove",8110,"Ukraine","","","","24 March 2022 14h03 UTC",48.9067,37.0131
"Berdiansk",107928,"Russia","80","See Battle of Berdiansk","https://web.archive.org/web/20220227214850/https://edition.cnn.com/europe/live-news/ukraine-russia-news-02-27-22/h_9b36acb1e0881aa346e1e1edec93e14f","24 March 2022 14h03 UTC",46.7598,36.7845
"Berdychiv",73999,"Ukraine","","","","24 March 2022 14h03 UTC",49.8919,28.6
"Berehove",23485,"Ukraine","","","","24 March 2022 14h03 UTC",48.2025,22.6375
"Berezhany",17316,"Ukraine","","","","24 March 2022 14h03 UTC",49.45,24.9333
"Beryslav",12123,"Russia","29","","https://ua.korrespondent.net/ukraine/4457270-dnipropetrovska-oblast-hotova-do-oporu-korban","24 March 2022 14h03 UTC",46.8333,33.4167
"Bershad",12446,"Ukraine","","","","24 March 2022 14h03 UTC",48.3728,29.5325
"Bila Tserkva",208737,"Ukraine","","","","24 March 2022 14h03 UTC",49.7956,30.1167
"Bile",100,"Russia","","See Attack on Snake Island","","24 March 2022 14h03 UTC",45.255,30.204167
"Bilhorod-Dnistrovskyi",48197,"Ukraine","","","","24 March 2022 14h03 UTC",46.1833,30.3333
"Bilmak",6507,"Russia","81","","http://1news.zp.ua/pid-zaporizhzhyam-u-polon-vzyali-eks-vagnerivczya/","24 March 2022 14h03 UTC",47.3589,36.65
"Bilovodsk",7771,"Russia","66","","https://www.ukrinform.ua/rubric-other_news/3420058-sbu-rosijski-vijska-vderlisa-v-bilovodsk-i-postavili-svogo-kerivnika-vca.html","24 March 2022 14h03 UTC",49.1992,39.5756
"Bobrovytsia",10742,"Russia","1","","https://ukraine.segodnya.ua/ua/ukraine/voruyut-unitazy-grabyat-cerkvi-i-royutsya-v-obedkah-rossiyskie-okkupanty-massovo-zanimayutsya-maroderstvom-1607740.html","24 March 2022 14h03 UTC",50.7333,31.3833
"Bohodukhiv",15797,"Contested","21","","https://www.facebook.com/GeneralStaff.ua/posts/259676363012116","24 March 2022 14h03 UTC",50.1608,35.5164
"Borodianka",13044,"Contested","40","","https://web.archive.org/web/20220303005644/https://www.unian.ua/war/u-gostomeli-nemishayevomu-buchi-ta-borodyanci-trivayut-boji-policiya-novini-kiyeva-11726557.html","24 March 2022 14h03 UTC",50.6439,29.9339
"Brody",23335,"Ukraine","","","","24 March 2022 14h03 UTC",50.0781,25.1542
"Brovary",109473,"Contested","42","","https://news.sky.com/video/ukraine-war-lots-and-lots-of-losses-military-vehicles-destroyed-in-brovary-north-east-of-kyiv-12562350","24 March 2022 14h03 UTC",50.5114,30.7903
"Bucha",36971,"Russia","45","","https://edition.cnn.com/2022/03/06/europe/ukraine-russia-invasion-sunday-intl-hnk/index.html","24 March 2022 14h03 UTC",50.5464,30.235
"Burshtyn",14866,"Ukraine","","","","24 March 2022 14h03 UTC",49.26,24.635
"Buzova",1548,"Russia","48","","https://www.facebook.com/GeneralStaff.ua/posts/276000071379745","24 March 2022 14h03 UTC",50.4212,30.0448
"Cherkasy",272651,"Ukraine","","","","24 March 2022 14h03 UTC",49.4444,32.0597
