Name,Population,Held by,source,More information,sourceLink,update,Lat,Lon
Chernihiv,"285,234",Ukraine,1,See Battle of Chernihiv,https://web.archive.org/web/20220225044921/https://gazeta.ua/articles/np/_putin-cinichno-obduriv-okupanti-prodovzhuyut-zdavatisya-v-polon-zsu/1072481,25 February 2022 04h41 UTC,51.4939,31.2947
Chernobyl,500,Russia,4,See Battle of Chernobyl,https://web.archive.org/web/20220225044921/https://www.cnn.com/2022/02/24/europe/ukraine-chernobyl-russia-intl/index.html,25 February 2022 04h41 UTC,51.2705,30.2196
Kharkiv,"1,433,886",Contested,2,See Battle of Kharkiv (2022),https://web.archive.org/web/20220225044921/https://www.segodnya.ua/regions/kharkov/pod-harkovom-goryat-rossiyskie-tanki-video-1605012.html,25 February 2022 04h41 UTC,50,36.2292
Sumy,"259,660",Ukraine,5,See Battle of Sumy,https://web.archive.org/web/20220225044921/https://24tv.ua/vorog-vidstupiv-sumah-bilya-kadetskogo-korpusu-zakinchivsya-peremozhniy_n1877934,25 February 2022 04h41 UTC,50.9068,34.7992
